Days to 50% Flowering;Days to 50% Pod Setting;Number of Pods per Plant;Plant Height (cm);First Pod Height (cm);Biological Yield (g);1000-Seed Weight (g);Seed Yield per Plant (g);Total Seed Yield (kg/da)
70;81;10;21.9;16.4;1.49;49.1;0.69;77.28
73;82;14;21.9;16.46;1.88;44.4;0.67;76.48
71;79;18;18.54;12.23;2.08;41.1;0.81;86.42
76;91;35;22.9;14.3;4.09;39.34;1.38;137.75
74;84;57;29.45;13.48;4.88;35.12;1.84;167.36
70;80;10;25.43;14.58;5.27;35.49;2.15;182.82
72;81;38;21.7;14.5;2.47;38.5;1.37;130.12
71;80;20;18.35;14.35;2.4;45.1;1.05;100.98
71;81;14;21.63;12.18;1.84;46.3;0.84;85.33
74;86;45;22.7;13.8;4.93;44.28;1.87;168.33
70;83;59;22.57;11.45;6.08;39.44;2.84;229.62
64;75;40;23.85;13.8;4.46;40.67;1.79;161.15
70;82;9;20;15.2;1.12;42.8;0.52;61.48
73;81;15;20.45;14.58;1.66;49.1;0.71;80.17
71;82;15;20.45;14.55;1.69;46.1;0.76;82.49
76;88;38;34;15;7.47;46.61;1.98;178.25
67;79;41;27.72;18.85;4.32;38.79;1.72;156.68
70;80;36;20.78;10.75;4.01;44.35;1.78;160.29
70;81;31;17.5;13;3.1;38.1;1.51;135.93
72;82;32;19.65;14.05;2.98;33.5;1.27;122.62
72;83;14;17.35;11.13;1.58;49.3;0.79;84.35
69;80;33;20;12;4.21;41.5;1.43;135.85
72;81;30;21.3;16.66;4.15;41.9;1.51;140.89
70;80;23;20.45;11.39;2.54;42.8;1.16;110.24
72;82;21;19;16;2.62;45.3;1.13;107.38
70;80;47;19.74;15.45;4.27;39.5;1.67;151.33
70;80;47;23.85;10.45;2.77;33.7;1.34;127.36
71;82;51;22;17.5;5.21;48.8;2.37;201.45
70;79;35;24.55;20.52;4.23;46.5;1.53;139.62
70;80;45;23.45;14.58;8.05;46.1;2.45;208.28
70;81;13;22;15;2.1;44.1;0.8;90.21
72;82;11;24.06;18.78;2.3;43.6;0.5;67.43
71;80;15;26.65;17.19;3.5;49.2;0.8;90.61
69;77;26;23;12.3;3.86;43.5;1.5;137.49
70;79;32;25.74;19.48;3.06;48.1;1.3;124.27
70;81;31;24.5;11.25;1.77;34.4;0.86;94.63
68;81;34;30;16;4.52;44.26;1.38;136.83
64;73;38;31.44;23.18;3.46;35.81;1.28;122.18
73;85;28;21.38;11.39;2.98;45.29;1.38;132.22
70;80;26;23.6;20.3;2.62;40.6;1.21;114.96
70;82;23;21.88;15.54;1.98;38.5;1.04;99.29
72;82;35;25.65;15.41;3.06;41.1;1.48;140.66
65;77;39;24.6;16.5;4.25;43.72;1.62;145.81
67;77;39;24.35;14.38;4.44;44.18;1.67;150.38
68;76;38;24.48;15.44;4.35;43.95;1.64;148.1
70;81;39;27;17.5;3.61;43.5;1.79;161.18
69;78;30;23.45;17.46;3.3;43.1;1.42;135.39
69;79;20;22.45;12.45;2.78;43.6;0.92;101.26
65;76;48;26.5;16.5;4.35;38.47;1.38;147.33
65;76;43;28.25;17.35;4.65;37.61;1.95;177.89
72;83;45;28.66;17.89;3.52;35.79;1.45;137.76
70;80;19;19;15;1.15;28.6;0.54;70.28
69;78;12;20.5;16.46;0.8;30.3;0.42;60.36
72;82;11;18.35;9.78;1;34.2;0.48;64.17
63;73;51;20.6;12.5;6.4;45.68;2.05;174.31
73;82;62;23.78;10.43;7.48;41.37;3.64;274.58
66;76;41;18.68;10.47;4.21;37.29;1.72;154.81
69;79;35;21.3;13.5;3.44;48.2;1.5;136.47
71;80;41;22.55;16.35;4.16;44.6;1.57;144.36
69;79;27;20.45;11.38;3.8;43.3;1.22;115.98
72;78;28;29;16.2;2.89;45.28;1.38;109.25
73;82;40;26.22;14.55;4.29;48.75;2.11;180.17
71;80;38;23.61;15.48;3.61;41.78;1.47;139.65
70;81;41;20.5;13;3.28;48.2;2.39;204.61
69;79;38;21.63;13.59;3.82;42.5;1.48;141.12
72;81;29;20.35;13.15;4.33;45.2;1.28;121.64
74;81;35;18.2;10.9;4.71;44.65;1.38;155.74
64;75;58;23.45;12.84;7.47;45.66;2.86;229.69
68;77;51;22.35;10.58;5.31;46.29;2.14;181.92
70;82;36;17;8.5;4.74;43.5;1.7;153.38
73;84;29;22.52;15.65;3.22;41.1;1.38;133.08
71;82;33;22.45;16.66;3.12;48.5;1.44;136.87
67;79;32;25.5;17.6;8.38;38.61;1.12;106.43
72;79;55;22.65;14.25;7.04;44.49;2.87;228.45
70;80;41;19.61;12.28;5.12;40.52;1.83;164.71
69;78;17;22;14.5;2.28;43.6;0.92;101.39
71;80;20;20.55;14.02;2.36;36.7;0.86;96.22
71;81;24;21.35;10.59;3.14;43.6;1.24;117.88
62;70;36;27.4;20.1;4.06;36.29;1.38;117.83
66;76;56;20.47;10.15;5.19;38.18;2;181.14
70;82;25;23.76;11.79;3.26;40.48;1.18;112.16
71;80;45;19.5;10.3;3.64;45.5;1.96;176.41
70;82;34;19.88;11.33;3.44;48.9;1.57;141.33
68;79;42;18.74;10.45;4.08;35.2;1.58;142.28
61;72;44;21.8;12.2;10.55;46.59;2.21;187.85
71;83;41;29.56;19.35;5.13;39.84;1.72;156.78
67;78;36;20.45;11.98;4.2;39.16;1.57;141.33
72;83;18;19.5;15;5.6;43.7;0.83;92.05
69;80;34;23.65;14.98;8.14;45.5;1.91;172.08
71;82;31;23.5;14.38;5.08;44.7;1.61;144.97
64;77;40;27.4;16.4;4.62;43.27;1.38;169.22
71;82;49;24.74;14.35;4.02;41.82;1.78;158.15
71;82;25;20.62;12.68;2.01;38.78;0.89;98.06
